r,J_LSP,J_B,ratio_running
0.8933631130948031,0.001544631945621785,6.113507386624673e-13,2526588826.900218
0.8966965575429181,0.0015571650461478337,6.232514465597377e-13,2498453962.2702374
0.900030001991033,0.0015697572607324272,6.353821626504935e-13,2470571811.7489996
0.9033634464391479,0.0015824121763451371,6.477504949772814e-13,2442934723.501272
0.9066968908872629,0.0015951296937622118,6.60360913356221e-13,2415542261.0570908
0.9100303353353778,0.001607907127725744,6.732155437604517e-13,2388398697.309165
0.9133637797834927,0.0016207506617207674,6.863249301943502e-13,2361491751.8176284
0.9166972242316077,0.0016336527329857153,6.996866688583027e-13,2334834727.7380457
0.9200306686797226,0.0016466215948440623,7.133136921184144e-13,2308411590.914356
0.9233641131278376,0.0016596507626826093,7.272046288231265e-13,2282233496.46235
0.9266975575759525,0.0016727439361110931,7.413682806949269e-13,2256292829.9861097
0.9300310020240674,0.0016859009307222802,7.558096976082204e-13,2230589176.160822
0.9333644464721824,0.0016991191416003556,7.705314457738798e-13,2205126281.2432694
0.9366978909202973,0.0017124046997989064,7.855454922765502e-13,2179892465.344396
0.9400313353684122,0.0017257500523567382,8.008491981382381e-13,2154900143.958
0.9433647798165272,0.0017391635458100393,8.164574022288673e-13,2130133845.3938363
0.9466982242646421,0.0017526385762399324,8.323684942762201e-13,2105604174.4635305
0.950031668712757,0.0017661789576591516,8.485926618844313e-13,2081303594.750723
0.953365113160872,0.00177978441948211,8.65135610924318e-13,2057231718.3667583
0.9566985576089869,0.0017934524375319686,8.820004263608715e-13,2033391803.3710513
0.9600320020571019,0.0018071890908144983,8.992007016670082e-13,2009772776.4938247
0.9633654465052168,0.0018209868352264474,9.167335327662456e-13,1986386196.3591702
0.9666988909533317,0.0018348541126432412,9.346159606984406e-13,1963217182.0306284
0.9700323354014467,0.0018487841976833773,9.528460863146529e-13,1940275795.0488803
0.9733657798495616,0.0018627810203546609,9.71435706578215e-13,1917554612.9718874
0.9766992242976765,0.0018768442231254297,9.903912689244294e-13,1895053280.4713569
0.9800326687457915,0.0018909713630377025,1.0097164694472792e-12,1872774605.798818
0.9833661131939064,0.0019051684672823082,1.02942676047146e-12,1850708122.6543725
0.9866995576420213,0.001919427999599978,1.0495189390921908e-12,1828864566.522485
0.9900330020901363,0.0019337584994541723,1.0700125906085707e-12,1807229668.5353444
0.9933664465382512,0.0019481531178478797,1.0909054672792578e-12,1785812956.55857
0.9966998909863661,0.0019626159025509897,1.112211235294395e-12,1764607153.9921982
1.0000333354344813,0.001977146407845888,1.133937180016451e-12,1743611941.375098
1.0033667798825963,0.0019917422728877665,1.1560877173101957e-12,1722829715.310739
1.006700224330711,0.002006409473042919,1.1786804241581687e-12,1702250611.7176983
1.010033668778826,0.002021140479087184,1.201711760808407e-12,1681884579.1502755
1.013367113226941,0.002035943930355664,1.2252042526621208e-12,1661717975.5391562
1.0167005576750558,0.0020508128516566223,1.2491552318037144e-12,1641759806.501676
1.0200340021231709,0.0020657514106142334,1.273580535841122e-12,1622002969.1722095
